Part,Value,Device,Package,Description,COLOR1,COLOR2,VOUT
C1,10 uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,
C2,10 uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,
C3,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,
C4,0.01uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,
C5,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,
J1,APP_2POS_CONFIG12V_HORIZ,APP_2POS_CONFIG12V_HORIZ,APP45_12V_HORIZ_CONFIG,,YELLOW,BLACK,
L1,EXC3BP,EXC3BP,L0603,"gPS Module - MTK MT3339 Chipset, -165dBm sensitivity, 22 channels, 10Hz, auto-select external antenna options",,,
LED1,FIX,LEDCHIPLED_0805,CHIPLED_0805,LED,,,
LED2,PWR,LEDCHIPLED_0805,CHIPLED_0805,LED,,,
LOGO1,MRDT_LOGO,MRDT_LOGO,MRDT_LOGO,,,,
R1,1K,R-US_M0805,M0805,"RESISTOR, American symbol",,,
R2,1K,R-US_M0805,M0805,"RESISTOR, American symbol",,,
U$2,TIVA-1294,TIVA-1294,TIVA-C-CONNECTED,TIVA C CONNECTED LAUNCHPAD,,,
U1,,GPS_FGPMMOPA6H,FGPMMOPA6H,"GPS Module - MTK MT3339 Chipset, -165dBm sensitivity, 22 channels, 10Hz, auto-select external antenna options",,,
U2,LSM9DS1,LSM9DS1,LSM9DS1_BREAKOUT,,,,
U3,OKI-78SR-5/1.5-W36HC,OKI-78SR-5/1.5-W36HC,OKI-78SR_HORIZ,4.95W DC/DC Converter,,,+5v
U4,,CR1220SMT,CR1220-SMD,CR1216/CR1220/CR1225 12mm 3V lithium coin cell,,,
X1,,ANTENNA_U.FL,U.FL,U.FL Antenna Connector,,,
